"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "TypeScript JSX", "XML", "Markdown", "Prisma", "HTML", "Ignore", "CSS", "comment", "blank", "total"
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardFilters/components/filterResetButton/FilterResetButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardFilters/components/filterResetButton/utils/hasQueryParam.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardFilters/components/filterViewButton/filterViewButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardFilters/components/filterViewButtonDropdown/FilterViewButtonDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 6, 63
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardFilters/components/filterViewButtonDropdown/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardFilters/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardHeading/DashboardHeading.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardHeading/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardPagination/DashboardPagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardPagination/components/DashboardPaginationButtons.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardPagination/components/RowsCountDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 5, 57
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardPagination/hooks/useLimitSearchParams.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardPagination/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardTable/Table.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardTable/TableBody/TableBody.tsx", "TypeScript JSX", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 5, 118
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardTable/TableBody/TableBodyRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 4, 5, 58
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardTable/TableBody/TableBodyRowDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardTable/TableBody/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardTable/TableHead/TableHead.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardTable/TableHead/components/CheckboxTableHead.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardTable/TableHead/components/DropdownTitleTableHead.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 1, 7, 71
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardTable/TableHead/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardTable/TableRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/natan/Desktop/medipype/app/dashboard/components/DashboardTable/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/natan/Desktop/medipype/app/dashboard/hooks/useQueryString.tsx", "TypeScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 11, 17, 79
"/Users/natan/Desktop/medipype/app/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"/Users/natan/Desktop/medipype/app/error/register-first/RegisterFirst.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 33
"/Users/natan/Desktop/medipype/app/error/register-first/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/natan/Desktop/medipype/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 2, 9, 85
"/Users/natan/Desktop/medipype/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/Users/natan/Desktop/medipype/app/mailbox/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/natan/Desktop/medipype/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/natan/Desktop/medipype/app/profile/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/natan/Desktop/medipype/app/providers/ModalProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/Users/natan/Desktop/medipype/app/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/natan/Desktop/medipype/app/sigInPage/components/QuoteComponent/QuoteComponent.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/natan/Desktop/medipype/app/sigInPage/components/QuoteComponent/QuoteComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/natan/Desktop/medipype/app/sigInPage/components/SignWithEmailButton/SignWithEmailButton.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 11, 34
"/Users/natan/Desktop/medipype/app/sigInPage/components/SignWithEmailButton/SignWithEmailButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/natan/Desktop/medipype/app/sigInPage/components/signInForm/SignInForm.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 14, 45
"/Users/natan/Desktop/medipype/app/sigInPage/components/signInForm/SignInForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 9, 56
"/Users/natan/Desktop/medipype/app/sigInPage/components/signWithGoogleButton/SignWithGoogle.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 11, 36
